00001 Untitled 21:44:43.27 14-NOV-23
       9       9      11       9       7       5       9       7      12      10
       4       6       4      12       5       7      12       7       7      14
       8       8       6       2       9       9       8      14      14       9
       6      10       6      11       6       8      10       5       9      17
       8       6       9       6      10      10       5      10       6       8
       6      16       9       7       5      13      16      13       5      14
       8       4      10       9      10       3       4      13      10      10
      10       8       4       8      11      11       7       5       6       7
      10       7      14      10      12       9       4       7      14       6
       6       8       6       9      11      10       6      11       4       6
      11       7      10       9      11       9       8       6      10       9
       6       7      11       5      12       9      11       4       4       8
       8       9       9       6       9       8      12       2       7      11
       6       8      12       4       6      11      16      11      10       9
      12       9       8       5       7       6      10      13      12       4
       9       7       5       6       7       8      13       7      12       6
      10       7      12      12      11       8       9       9      12       9
       5       8       9      10      11       8       4      12      15      12
       8       6      11      12       6       6       7       8       9       8
       4       7       9       6       3       9       7      11       8      11
       6       5      13      10       8       9      12       4       7      10
       8       7       3       4       8       6       4      10      10       9
       8      10      10       5      11       6       9       8      17       6
      12      17       8       7      12       8       9       8       3      12
       8      10       8       6       6      10       7       6      12       9
      14      13       8       9      12      12      11       9       9       5
       4       5       8      10      10       9      13       9       9      10
       9       8      10       8       9      10      11       6       5       6
       2      12       8       9       6       7       8       7      10       8
       7       9       5       7      10      11      14       8       9      11
       9       3       6       6      11      11      15      10       5       7
       9       9      12      12       8      10       8      10       7       9
       7       7       9      17       5       9       5      14       8      11
       6       8      11      10      10       9       9      10       8       4
       7      14      10       5       5       8      11       2      12       5
      11      11      10       5       3       8      12      12       6       7
       5       6       7      10      14       4       8      11       7       5
       5      11       7       9       7       9      12       8      13       8
       7       5       8       4      10       8       6       8       9      10
      12       6      10       7      10       8       8      10      10       6
      11       9      12      14      11       6      10       5       7      15
      13       8       5       4      13       6       6       5       7      13
      13      14      11       5       8       8      10      16       8      11
       9       7       3       9       9       5       8       9       9       6
       9       5      13       4       9       7       8      11       7       7
       7       6       9       6       7      12      10      13       9      13
      10      16       8      10      10      12      10       6      10       8
       9       8       9       7      12       9      13       9      12       5
       8       6       7       6       8      13      12       8       6      10
       3       2       6      10       8       7       6      11       6      13
